steam_id,display_name,internal_name,version,translators,note
2562968836,Advanced World Generation,AdvancedWorldGen,3.1.7.4,ぽぷのべり,
2831179995,Aimbot,Aimbot,0.3.1,ぽぷのべり,
2599842771,AlchemistNPC Lite,AlchemistNPCLite,,hazamax405,翻訳時のMODバージョン不明。最新バージョンはv1.9.7。一部未翻訳(ぽぷのべり)
2563082541,Angler Shop,NoFishingQuests,3.2.0.4,まめ,
2818107739,Anime Vanity & Pets,AnimeOverhaul,3.2,ogatass,
2658783282,Apacchii's Classes: Reborn,ApacchiisClassesMod2,,hazamax405,翻訳時のMODバージョン不明。最新バージョンはv1.5.7。設定・バフなど一部未翻訳(ぽぷのべり)
2895682737,Arbour,Arbour,1.2.2.5,ぽぷのべり,
2829105343,Archery Overhaul,bowmod,1.5.4.2,まめ,
2817496179,Atmospheric Torches,ImprovedTorches,1.4.3,ぽぷのべり,
2707400823,Auto Reforge,AutoReroll,2024.8.31,katudonsan,済
2565540604,Auto Trash,AutoTrash,0.7.2,HAKU,
2621687273,Autofish,Autofish,1.2.1,ぽぷのべり,
3010989007,Bank Buttons,BankButtons,1.3.2,まめ,
2791578194,Better Beds,BedFix,1.1,ぽぷのべり,
2816941454,Better Blending,BetterBlending,1.2.6,まめ,バージョン情報を更新(1.2.4→1.2.6) 翻訳内容の追加等はありませんでした。(ぽぷのべり)
3018447913,Better Boss Health Bar for 1.4.4+,BetterBossBarPlus,0.9.2.3,Hurugitune,全て翻訳済み
3158254975,Better Caves,VervCaves,1.1.7,まめ,
2773928114,Better Extractinator,BetterExtractinator,1.2,katudonsan,バージョン情報を記載(ぽぷのべり)
2568214360,Better Friendly NPCs,GodNPC,1.8.6,ぽぷのべり,
2903065706,Better Game UI,BetterGameUI,2.2.1,ぽぷのべり,
2634682993,Better Multiplayer,BetterMultiplayer,1.6.3,katudonsan,済
3201195744,Better Tooltips,PrettyRarities,1.4.4,ぽぷのべり,バージョン情報を更新(1.4.3→1.4.4) 翻訳内容の追加等はありません。
2562953970,Better Zoom,BetterZoom,4.5.0.3,ぽぷのべり,
3429640606,BetterChatBox,ChatImprover,1.7,ぽぷのべり,
3018208290,Block's Leveling Mod,BSWLmod,,hazamax405,翻訳時のMODバージョン不明。最新バージョンはv1.5.1.5。設定など一部未翻訳(ぽぷのべり)
2669644269,Boss Checklist,BossChecklist,2.2.2,katudonsan,バージョン情報を記載(ぽぷのべり)
2816694149,Boss Cursor,BossCursor,3.0.0,ponzu_ika,バージョン情報を記載(ぽぷのべり)
3044249615,Calamity - Fargo's Souls DLC,FargowiltasCrossmod,1.2.0.8,ogatass,
3184307602,Calamity Clickers,CalamityClickers,1.2.0.1,ぽぷのべり,仮翻訳
2466463382,Calamity Extra Music,CalmExtraMusic,2.0.0,Hurugitune,全て翻訳済み
2824688072,Calamity Mod,CalamityMod,,hazamax405,大規模修正しました(Taccom368)
3015412343,Calamity Mod Infernum Mode,InfernumMode,2.0.1.16,Hurugitune,バフ以外はほぼ全て翻訳済み。ほとんど推敲済み。
2824688266,Calamity Mod Music,CalamityModMusic,2.0.4.3,Hurugitune,全て翻訳済み
3241967932,Calamity:Hunt of the Old God,CalamityHunt,1.1.5,Hurugitune,全て翻訳済み。フィードバック募集中。
2995193002,Calamity:Wrath of the Gods,NoxusBoss,1.2.19,Hurugitune,全て翻訳済み。フィードバック募集中。
2824688804,Calamity's Vanities,CalValEX,11.1,Chuzume,ほぼ翻訳完了、マップでのタイル名、Projectile名など未翻訳。
3161388997,CalamityOverhaul,CalamityOverhaul,0.6015,右折禁止,
2864849706,Camping,CampingMod,3.0.2,Hurugitune,全て翻訳済み。推敲済み。
2838015851,Catalyst Mod,CatalystMod,1.1.2.3,Hurugitune,全て翻訳済み。ほとんど推敲済み。
2687866031,Census - Town NPC Checklist,Census,0.5.2.7,まめ,バージョン情報を更新(0.5.2.6→0.5.2.7) (ぽぷのべり)
2927446524,Chad's Furni Reborn,TestChadsFurni,0.2,mori (new),すべて翻訳済み
2566083800,Chat Source,ChatSource,1.1.1.3,Hurugitune,すべて翻訳済み、　バージョン情報を更新(1.1.1.2→1.1.1.3) (ぽぷのべり) 
2563784437,Cheat Sheet,CheatSheet,0.7.6.1,sysnote8,バージョン情報を記載(ぽぷのべり)
3395336633,Clicker Extra API,ClickerExtraAPI,1.1,ぽぷのべり,
3378168037,Compatibility Checker (Beta),CompatChecker,0.1.4.3,Hurugitune,すべて翻訳済み(Hurugitune)、　バージョン情報を更新(0.1.4.1→0.1.4.3) (ぽぷのべり) 
3001692619,Concise Mods List,ConciseModList,1.4.2,ぽぷのべり,
2864843929,Consolaria,Consolaria,2.1.1,Hurugitune,全て翻訳済み。ほとんど推敲済み。一部重大なバグがあるアイテムがあったので注意書きを追加。修正され次第削除。
3331547573,Coyote frames,Coyoteframes,1.5,ぽぷのべり,
2563815443,Dialogue Panel Rework,DialogueTweak,1.5.9,Hurugitune,すべて翻訳済み
2589338274,Difficulty Editor,x1526modDifficultBuff,1.0.1.6,ぽぷのべり,
2824854732,Discordya - Discord Rich Presence,Discordya,1.0.6.1,Hurugitune,全て翻訳済み
3231435221,Dtboss' no friendly projectiles,DtbsNoProjectiles,1.2,Hurugitune,すべて翻訳済み
3415023899,Ebonian Mod,EbonianMod,1.1.2,パイナポーよし子,仮翻訳
3030483105,Enchanted Moons,BlueMoon,2.0.0,ぽぷのべり,
2836321449,Exotic Life Fruits,ExoticFruits,1.6.3,ぽぷのべり,
2925134686,Expanded Inventory,ExpandedInventory,0.4.1,ぽぷのべり,
2990396828,Extended Equipment Loadouts,ExtraLoadouts,1.4.1,ぽぷのべり,
2797773802,Extra Pylons,ExtraPylons,0.6.0.3,まめ,
2822950837,Fancy Lighting,FancyLighting,0.9.14,ぽぷのべり,
3070430423,Fancy Whips,FancyWhips,1.1,ぽぷのべり,
2802867430,Fargo's Best of Both Worlds,FargoSeeds,0.5.2,まめ,
2567580488,Fargo's Enemy Modifiers,FargoEnemyModifiers,,ponzu_ika,
2567152289,Fargo's Fallen Stars,StarHell,2.2,ぽぷのべり,
2570931073,Fargo's Mutant Mod,Fargowiltas,3.3.6.1,katudonsan,
2815540735,Fargo's Souls Mod,FargowiltasSouls,1.7.2.6,katudonsan,全て翻訳済み
2981752535,Fish Guns+,FishGunsPlus,3.9,まめ,
3164271154,Flail Rework Mod,FlailMod,1.1.7,ぽぷのべり,
3141716573,Generated Housing,SpawnHouses,1.0.15,ぽぷのべり,
2817254924,Gensokyo,Gensokyo,0.14.0.32,raikki77,大きめの意訳がある部分はコメントを残しています。
3065959410,Guiding Fairy (Light Pet),RareEnemyPet,1,ぽぷのべり,
2799797838,Gunsword Slime,HostiumProelium,1.0.111111,ぽぷのべり,
3311481926,Hamaxe of Regrowth,AcornHamaxe,0.2,まめ,
2853619836,Heart Crystal & Life Fruit Glow,LifeSourcesLight,1.2.0,ぽぷのべり,
2817545194,Helpful NPCs,HelpfulNPCs,2.2.2,まめ,
3119712528,High FPS Support,HighFPSSupport,0.6.6.3,まめ,
2564503881,HP Awareness,HPAware,1.0.3.4,Hurugitune,全て翻訳済み
2828041071,imkSushi's Mod,imkSushisMod,5.1.3,hazamax405,バージョン情報を記載(ぽぷのべり)
2816557864,Improved Movement Visuals,LookMod,1.3.4,ぽぷのべり,
3001536716,In-game Translate (Supports both v1.4.4 and v1.4.3),MachineTranslate,1,Hurugitune,すべて翻訳済み
3015416182,Infernum Mode Music,InfernumModeMusic,2.0.1.2,Hurugitune,全て翻訳済み
3251592253,Inventory Drag,InventoryDrag,1.1.0,ぽぷのべり,
2866111868,Item Checklist,ItemChecklist,0.7,HAKU,
2837407674,Lan's Unlimited Buff Slots,LansUnlimitedBuffSlots,2023.8.1.1,katudonsan,バージョン情報を記載(ぽぷのべり)
2817795758,Lighting Essentials,LightingEssentials,1.3.9,ぽぷのべり,
